COD_VIAJE,CLIENTE,UBICACION,CANTIDAD,PILOTO, Q ,CREDITO,UNIDAD,TIPO
10001596,BAR LA OFICINA,76002,1617,Luis Jaime Urbano, $404.25 ,90,Camion Grande,
10001597,EL GALLO NEGRO / Despacho a cliente,76002,1407,Felipe Villatoro, $351.75 ,90,Camion Grande,
10001598,HOSPITAL LAS AMERICAS,76001,1006,Ismael Rodero Monteagudo, $251.50 ,90,Camion Grande,
10001599,POLLO PINULITO/Despacho a cliente,76002,1768,Hector Aragones Frutos, $442.00 ,60,Camion Grande,
10001600,EL PINCHE OBELISCO / Despacho a cliente,76001,1989,Hector Aragones Frutos, $497.25 ,60,Camion Grande,
10001601,POLLO PINULITO/Despacho a cliente,76002,784,Felipe Villatoro, $196.00 ,30,Camion Pequeño,
10001602,TAQUERIA EL CHINITO |||Faltante,76001,1499,Hector Aragones Frutos, $374.75 ,90,Camion Grande,
10001603,EL GALLO NEGRO |||DEVOLUCION,76001,714,Luis Jaime Urbano, $178.50 ,30,Camion Pequeño,
10001604,TAQUERIA EL CHINITO,76002,704,Hector Giron, $176.00 ,90,Camion Pequeño,
10001605,EL GALLO NEGRO |||DEVOLUCION,76001,720,Hector Aragones Frutos, $180.00 ,90,Camion Pequeño,
10001606,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1537,Felipe Villatoro, $384.25 ,30,Camion Grande,
10001607,EL PINCHE OBELISCO |||Faltante,76001,869,Felipe Villatoro, $217.25 ,90,Camion Pequeño,
10001608,EL GALLO NEGRO / Despacho a cliente,76001,1974,Hector Aragones Frutos, $493.50 ,90,Camion Grande,
10001609,BAR LA OFICINA,76002,686,Luis Jaime Urbano, $171.50 ,90,Camion Pequeño,
10001610,ABARROTERIA EBENEZER/Despacho a cliente,76001,1364,Angel Valdez Alegria, $341.00 ,30,Camion Grande,
10001611,ABARROTERIA EBENEZER/Despacho a cliente,76001,1204,Ismael Rodero Monteagudo, $301.00 ,90,Camion Grande,
10001612,POLLO PINULITO|||FALTANTE,76001,1466,Ismael Rodero Monteagudo, $366.50 ,30,Camion Grande,
10001613,POLLO PINULITO/Despacho a cliente,76001,1646,Ismael Rodero Monteagudo, $411.50 ,30,Camion Grande,
10001614,BAR LA OFICINA,76002,696,Hector Aragones Frutos, $174.00 ,30,Camion Pequeño,
10001615,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,761,Angel Valdez Alegria, $190.25 ,60,Camion Pequeño,
10001616,UBIQUO LABS,76001,326,Pedro Alvarez Parejo, $81.50 ,90,Panel,
10001617,EL PINCHE OBELISCO |||Faltante,76002,1672,Ismael Rodero Monteagudo, $418.00 ,30,Camion Grande,
10001618,UBIQUO LABS |||FALTANTE,76002,1803,Hector Giron, $450.75 ,60,Camion Grande,
10001619,HOSPITAL LAS AMERICAS,76002,1036,Angel Valdez Alegria, $259.00 ,90,Camion Grande,
10001620,EL PINCHE OBELISCO |||Faltante,76002,1729,Hector Aragones Frutos, $432.25 ,60,Camion Grande,
10001621,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,640,Hector Aragones Frutos, $160.00 ,30,Camion Pequeño,
10001622,UBIQUO LABS,76002,768,Pedro Alvarez Parejo, $192.00 ,30,Camion Pequeño,
10001623,EL GALLO NEGRO |||DEVOLUCION,76002,1401,Ismael Rodero Monteagudo, $350.25 ,90,Camion Grande,
10001624,EL PINCHE OBELISCO |||Faltante,76001,1138,Luis Jaime Urbano, $284.50 ,30,Camion Grande,
10001625,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,492,Luis Jaime Urbano, $123.00 ,90,Panel,
10001626,EL PINCHE OBELISCO |||Faltante,76001,1524,Angel Valdez Alegria, $381.00 ,30,Camion Grande,
10001627,POLLO PINULITO/Despacho a cliente,76001,1688,Luis Jaime Urbano, $422.00 ,60,Camion Grande,
