COD_VIAJE,CLIENTE,UBICACION,CANTIDAD,PILOTO, Q ,CREDITO,UNIDAD
10000001,EL PINCHE OBELISCO / Despacho a cliente,76002,1200,Fernando Mariano Berrio, $300.00 ,30,Camion Grande
10000002,TAQUERIA EL CHINITO |||Faltante,76002,1433,Hector Aragones Frutos, $358.25 ,90,Camion Grande
10000003,TIENDA LA BENDICION / Despacho a cliente,76002,1857,Pedro Alvarez Parejo, $464.25 ,60,Camion Grande
10000004,TAQUERIA EL CHINITO,76002,339,Angel Valdez Alegria, $84.75 ,30,Panel
10000005,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76001,1644,Juan Francisco Portillo Gomez, $411.00 ,30,Camion Grande
10000006,UBIQUO LABS |||FALTANTE,76001,1827,Luis Jaime Urbano, $456.75 ,30,Camion Grande
10000007,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,1947,Ismael Rodero Monteagudo, $486.75 ,90,Camion Grande
10000008,TAQUERIA EL CHINITO |||Faltante,76001,1716,Juan Francisco Portillo Gomez, $429.00 ,60,Camion Grande
10000009,EL GALLO NEGRO |||DEVOLUCION,76002,1601,Ismael Rodero Monteagudo, $400.25 ,30,Camion Grande
10000010,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,1343,Fernando Mariano Berrio, $335.75 ,90,Camion Grande
10000011,EL GALLO NEGRO / Despacho a cliente,76001,1782,Luis Jaime Urbano, $445.50 ,60,Camion Grande
10000012,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76002,234,Felipe Villatoro, $58.50 ,30,Panel
10000013,POLLO PINULITO|||FALTANTE,76001,1542,Hector Aragones Frutos, $385.50 ,60,Camion Grande
10000014,EL GALLO NEGRO / Despacho a cliente,76001,304,Hector Aragones Frutos, $76.00 ,90,Panel
10000015,TAQUERIA EL CHINITO,76001,1667,Luis Jaime Urbano, $416.75 ,90,Camion Grande
10000016,EL PINCHE OBELISCO / Despacho a cliente,76002,1325,Luis Jaime Urbano, $331.25 ,30,Camion Grande
10000017,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1186,Ismael Rodero Monteagudo, $296.50 ,30,Camion Grande
10000018,TIENDA LA BENDICION / Despacho a cliente,76002,231,Ismael Rodero Monteagudo, $57.75 ,60,Panel
10000019,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,783,Pedro Alvarez Parejo, $195.75 ,30,Camion Pequeño
10000020,UBIQUO LABS,76001,971,Felipe Villatoro, $242.75 ,60,Camion Pequeño
10000021,TIENDA LA BENDICION / Despacho a cliente,76002,547,Fernando Mariano Berrio, $136.75 ,90,Camion Pequeño
10000022,BAR LA OFICINA,76001,1550,Fernando Mariano Berrio, $387.50 ,30,Camion Grande
10000023,UBIQUO LABS |||FALTANTE,76001,335,Pedro Alvarez Parejo, $83.75 ,60,Panel
10000024,TIENDA LA BENDICION / Despacho a cliente,76002,1173,Pedro Alvarez Parejo, $293.25 ,90,Camion Grande
10000025,TIENDA LA BENDICION / Despacho a cliente,76001,1061,Fernando Mariano Berrio, $265.25 ,60,Camion Grande
10000026,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,840,Juan Francisco Portillo Gomez, $210.00 ,30,Camion Pequeño
10000027,ABARROTERIA EBENEZER/Despacho a cliente,76002,795,Fernando Mariano Berrio, $198.75 ,60,Camion Pequeño
10000028,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1330,Angel Valdez Alegria, $332.50 ,30,Camion Grande
10000029,HOSPITAL ROOSEVELT / Despacho a cliente ,76001,1648,Juan Francisco Portillo Gomez, $412.00 ,30,Camion Grande
10000030,TAQUERIA EL CHINITO,76002,1502,Hector Giron, $375.50 ,90,Camion Grande
10000031,ABARROTERIA EBENEZER/Despacho a cliente,76001,1659,Juan Francisco Portillo Gomez, $414.75 ,30,Camion Grande
10000032,TAQUERIA EL CHINITO,76002,1508,Hector Giron, $377.00 ,60,Camion Grande
10000033,EL PINCHE OBELISCO |||Faltante,76002,875,Juan Francisco Portillo Gomez, $218.75 ,60,Camion Pequeño
10000034,UBIQUO LABS,76001,342,Hector Aragones Frutos, $85.50 ,60,Panel
10000035,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1980,Pedro Alvarez Parejo, $495.00 ,60,Camion Grande
10000036,UBIQUO LABS |||FALTANTE,76002,1442,Felipe Villatoro, $360.50 ,30,Camion Grande
10000037,EL PINCHE OBELISCO |||Faltante,76001,1467,Hector Aragones Frutos, $366.75 ,60,Camion Grande
10000038,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1991,Hector Aragones Frutos, $497.75 ,90,Camion Grande
10000039,ABARROTERIA EBENEZER/Despacho a cliente,76001,1589,Hector Aragones Frutos, $397.25 ,30,Camion Grande
10000040,TAQUERIA EL CHINITO,76001,732,Felipe Villatoro, $183.00 ,30,Camion Pequeño
