COD_VIAJE,CLIENTE,UBICACION,CANTIDAD,PILOTO, Q ,CREDITO,UNIDAD
10000989,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1325,Pedro Alvarez Parejo, $331.25 ,30,Camion Grande
10000990,POLLO PINULITO|||FALTANTE,76001,497,Hector Giron, $124.25 ,60,Panel
10000991,TAQUERIA EL CHINITO,76002,1177,Fernando Mariano Berrio, $294.25 ,60,Camion Grande
10000992,ABARROTERIA EBENEZER/Despacho a cliente,76002,1872,Ismael Rodero Monteagudo, $468.00 ,90,Camion Grande
10000993,EL PINCHE OBELISCO / Despacho a cliente,76002,1663,Hector Giron, $415.75 ,90,Camion Grande
10000994,POLLO PINULITO|||FALTANTE,76001,1657,Pedro Alvarez Parejo, $414.25 ,90,Camion Grande
10000995,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,457,Angel Valdez Alegria, $114.25 ,60,Panel
10000996,POLLO PINULITO/Despacho a cliente,76001,1574,Felipe Villatoro, $393.50 ,30,Camion Grande
10000997,POLLO PINULITO/Despacho a cliente,76002,904,Hector Aragones Frutos, $226.00 ,30,Camion Pequeño
10000998,TAQUERIA EL CHINITO,76001,1939,Hector Aragones Frutos, $484.75 ,90,Camion Grande
10000999,EL PINCHE OBELISCO |||Faltante,76001,1852,Luis Jaime Urbano, $463.00 ,60,Camion Grande
10001000,EL GALLO NEGRO / Despacho a cliente,76001,1909,Hector Aragones Frutos, $477.25 ,90,Camion Grande
10001001,EL GALLO NEGRO |||DEVOLUCION,76001,1411,Felipe Villatoro, $352.75 ,90,Camion Grande
10001002,TIENDA LA BENDICION / Despacho a cliente,76002,398,Fernando Mariano Berrio, $99.50 ,60,Panel
10001003,ABARROTERIA EBENEZER/Despacho a cliente,76001,251,Hector Aragones Frutos, $62.75 ,60,Panel
10001004,HOSPITAL LAS AMERICAS,76001,235,Hector Aragones Frutos, $58.75 ,90,Panel
10001005,TIENDA LA BENDICION / Despacho a cliente,76002,1026,Felipe Villatoro, $256.50 ,60,Camion Grande
10001006,UBIQUO LABS |||FALTANTE,76002,1221,Hector Giron, $305.25 ,90,Camion Grande
10001007,BAR LA OFICINA,76001,313,Angel Valdez Alegria, $78.25 ,90,Panel
10001008,TAQUERIA EL CHINITO |||Faltante,76001,1474,Hector Giron, $368.50 ,30,Camion Grande
10001009,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,1194,Hector Giron, $298.50 ,60,Camion Grande
10001010,EL PINCHE OBELISCO / Despacho a cliente,76001,1147,Hector Aragones Frutos, $286.75 ,60,Camion Grande
10001011,TIENDA LA BENDICION / Despacho a cliente,76001,439,Pedro Alvarez Parejo, $109.75 ,60,Panel
10001012,BAR LA OFICINA,76001,1748,Fernando Mariano Berrio, $437.00 ,60,Camion Grande
10001013,TAQUERIA EL CHINITO,76001,577,Ismael Rodero Monteagudo, $144.25 ,60,Camion Pequeño
10001014,ABARROTERIA EBENEZER/Despacho a cliente,76002,1550,Hector Aragones Frutos, $387.50 ,60,Camion Grande
10001015,HOSPITAL LAS AMERICAS,76002,319,Juan Francisco Portillo Gomez, $79.75 ,90,Panel
10001016,UBIQUO LABS |||FALTANTE,76001,960,Hector Giron, $240.00 ,90,Camion Pequeño
10001017,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,264,Pedro Alvarez Parejo, $66.00 ,90,Panel
10001018,EL PINCHE OBELISCO |||Faltante,76001,859,Felipe Villatoro, $214.75 ,30,Camion Pequeño
